epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,102423,0.69988,0.59738,1.06083,0.49693,0.46734,0.45024,0.37544,0.73072,1.95833,1.16927,3.848e-05,3.848e-05,3.848e-05
42,108957,0.68705,0.56161,1.05328,0.48982,0.47779,0.45068,0.37586,0.73425,1.97439,1.17598,3.4817e-05,3.4817e-05,3.4817e-05
43,113436,0.67886,0.53897,1.04706,0.49279,0.48392,0.4592,0.38369,0.73329,1.95302,1.1742,3.1154e-05,3.1154e-05,3.1154e-05
44,116737,0.67006,0.51631,1.03587,0.47428,0.49239,0.45104,0.37593,0.74283,1.99306,1.18658,2.7491e-05,2.7491e-05,2.7491e-05
45,119957,0.66304,0.4984,1.03189,0.48862,0.48845,0.45381,0.37819,0.74178,1.99844,1.18718,2.3828e-05,2.3828e-05,2.3828e-05
46,122004,0.65767,0.48187,1.03035,0.4903,0.48608,0.45446,0.37945,0.74352,2.00879,1.19354,2.0165e-05,2.0165e-05,2.0165e-05
47,123746,0.65066,0.46973,1.02696,0.49056,0.48738,0.4507,0.37666,0.74374,2.01937,1.19571,1.6502e-05,1.6502e-05,1.6502e-05
48,127968,0.64504,0.45414,1.02322,0.49225,0.48503,0.45388,0.3783,0.74568,2.03464,1.19821,1.2839e-05,1.2839e-05,1.2839e-05
49,130828,0.64086,0.44579,1.01965,0.47121,0.50439,0.45122,0.37579,0.74547,2.04257,1.19768,9.176e-06,9.176e-06,9.176e-06
50,132955,0.6387,0.44337,1.01696,0.49935,0.47697,0.45107,0.37643,0.74755,2.04477,1.19917,5.513e-06,5.513e-06,5.513e-06
